,id,cox,molecularFormula,Zodiac_Score
181,15153_1907_EMPv2_SIRIUS_42252,0.1,C20H33N9O4,0.014070351758793969
182,17179_1907_EMPv2_SIRIUS_44427,0.6666666666666666,C21H16N4O7S2,0.17487437185929652
183,775_1907_EMPv2_SIRIUS_57270,-1.380952380952381,C42H74O8,1.0
184,10428_1907_EMPv2_SIRIUS_40048,-0.8333333333333334,C36H55N3O7S,0.012060301507537688
185,27819_1907_EMPv2_SIRIUS_13764,-1.096774193548387,C31H58N4O6,0.9562814070351758
186,6654_1907_EMPv2_SIRIUS_50451,-0.5384615384615384,C26H40O13,0.9979899497487436
187,12205_1907_EMPv2_SIRIUS_16876,0.35714285714285715,C28H35N11O6,0.20452261306532665
188,2770_1907_EMPv2_SIRIUS_21971,-1.103448275862069,C29H55N5O4,0.7934673366834171
189,24466_1907_EMPv2_SIRIUS_38926,-1.12,C25H49N3O6,0.0457286432160804
190,31824_1907_EMPv2_SIRIUS_53708,-0.14285714285714285,C28H48N8O10,0.8075376884422111
191,42684_1907_EMPv2_SIRIUS_47029,-1.0,C28H52N4O6,0.8688442211055276
192,44512_1907_EMPv2_SIRIUS_36803,1.4,C10H11N3O4S4,0.9979899497487436
193,23239_1907_EMPv2_SIRIUS_36995,1.4,C10H11N3O4S4,0.7010050251256281
194,8822_1907_EMPv2_SIRIUS_50484,-0.38095238095238093,C21H37N7O4,0.06432160804020101
195,20026_1907_EMPv2_SIRIUS_22031,-1.2857142857142858,C42H68O7,0.04522613065326633
196,26956_1907_EMPv2_SIRIUS_22971,-1.3846153846153846,C26H52NO9P,1.0
197,12435_1907_EMPv2_SIRIUS_16854,0.3,C20H21NO12,0.0185929648241206
198,15129_1907_EMPv2_SIRIUS_36962,1.4,C10H11N3O4S4,0.8954773869346735
199,33087_1907_EMPv2_SIRIUS_19738,-0.8,C35H58O15,0.9733668341708543
200,20879_1907_EMPv2_SIRIUS_38269,-0.4166666666666667,C24H44N6O8,0.09597989949748743
201,15244_1907_EMPv2_SIRIUS_56822,-1.0303030303030303,C33H63N5O7,0.012060301507537691
202,2470_1907_EMPv2_SIRIUS_47703,-0.21052631578947367,C19H36N8O4,0.1241206030150754
203,12988_1907_EMPv2_SIRIUS_45739,0.6,C10H21N7O3,0.5376884422110553
204,3268_1907_EMPv2_SIRIUS_34661,-1.36,C25H47NO4S,0.9964824120603014
205,11294_1907_EMPv2_SIRIUS_19876,-1.52,C25H52NO8P,0.039195979899497496
206,51017_1907_EMPv2_SIRIUS_23292,-1.5833333333333333,C24H48NO6P,0.9959798994974872
207,38582_1907_EMPv2_SIRIUS_54530,-1.135135135135135,C37H56O7,1.0
208,12923_1907_EMPv2_SIRIUS_54220,-1.5,C32H64O8,0.9402010050251256
209,33091_1907_EMPv2_SIRIUS_57671,-1.3125,C32H57NO6,0.9994974874371858
210,4788_1907_EMPv2_SIRIUS_32650,-1.0,C24H44O10,0.8798994974874373
211,45722_1907_EMPv2_SIRIUS_54393,-1.4074074074074074,C27H43ClO2,1.0
212,27484_1907_EMPv2_SIRIUS_30476,-1.2307692307692308,C26H50NO10P,0.9849246231155782
213,44914_1907_EMPv2_SIRIUS_45524,-0.9285714285714286,C28H52N4O7,0.9964824120603014
214,42222_1907_EMPv2_SIRIUS_45526,-0.9285714285714286,C28H52N4O7,0.9924623115577892
215,3961_1907_EMPv2_SIRIUS_50360,-1.0,C20H42O11,1.0
216,45627_1907_EMPv2_SIRIUS_46323,-0.8666666666666667,C30H51N3O8,0.035678391959798994
217,27871_1907_EMPv2_SIRIUS_38993,0.35714285714285715,C28H29N9O6,0.02361809045226131
